point_id,selection_rank,carrier_tokens,author_payload_bits,normalized_payload_bits,author_bits_per_token,normalized_bits_per_token,author_kl_q_to_p_bits,normalized_kl_stego_to_ref_bits,normalized_kl_ref_to_stego_bits,normalized_tvd,token_agreement_rate,exact_token_sequence_parity,normalized_exact_token_id_decode
bins_b3,0,7,21,21,3.0,3.0,2.011933275631496,2.6337484597439063,inf,0.7216056852949173,0.0,False,True
bins_b3,1,78,234,234,3.0,3.0,2.677791412060077,2.6682476000259245,inf,0.6881073424843246,0.02564102564102564,False,True
bins_b3,2,73,219,219,3.0,3.0,2.990102625872991,2.6388486835886886,inf,0.6558547178427602,0.0,False,True
bins_b3,3,27,81,81,3.0,3.0,2.256444471853751,2.924340721221461,inf,0.7190786028978108,0.0,False,True
bins_b3,4,52,156,156,3.0,3.0,2.7011908201070933,3.0021908736317475,inf,0.686001160923835,0.0,False,True
bins_b3,5,18,54,54,3.0,3.0,3.5219261977407665,2.8413688197130735,inf,0.6582625967839102,0.0,False,True
bins_b3,6,31,93,93,3.0,3.0,2.542247433816233,3.2989728519699653,inf,0.7511850486286507,0.0,False,True
bins_b3,7,40,120,120,3.0,3.0,2.885166770219803,3.2012089743595546,inf,0.6768731795620675,0.0,False,True
huffman_e3,0,21,49,49,2.3333333333333335,2.3333333333333335,0.6598537613948187,0.6598110114817893,inf,0.3437874323511922,1.0,True,True
huffman_e3,1,19,50,50,2.6315789473684212,2.6315789473684212,1.2158830659954172,1.2164433938955923,inf,0.406486532403329,1.0,True,True
huffman_e3,2,29,70,70,2.413793103448276,2.413793103448276,1.6397595169215367,1.6391333944547073,inf,0.40960150381688404,1.0,True,True
huffman_e3,3,6,16,16,2.6666666666666665,2.6666666666666665,0.9040925105412801,0.9055312981673224,inf,0.4211990256459081,1.0,True,True
huffman_e3,4,17,48,48,2.823529411764706,2.823529411764706,0.9221781527294832,0.9236723016572055,inf,0.3727817668529401,1.0,True,True
huffman_e3,5,25,57,54,2.28,2.16,0.982620257139206,1.2466515959786457,inf,0.36914376845726615,0.04,False,True
huffman_e3,6,29,65,78,2.2413793103448274,2.689655172413793,1.2325059170353,1.2875560050859634,inf,0.46488586590893216,0.034482758620689655,False,True
huffman_e3,7,74,177,177,2.391891891891892,2.391891891891892,0.9563980585819966,0.9562954260529326,inf,0.38809307419359346,1.0,True,True
arithmetic_t0.9_k300,0,16,41,32,2.5625,2.0,0.09286670280247405,0.021888503917110266,inf,0.01492104733885576,0.25,False,True
arithmetic_t0.9_k300,1,20,52,52,2.6,2.6,0.17844548795942947,0.08810188416194273,inf,0.055371087629396444,0.15,False,True
arithmetic_t0.9_k300,2,43,126,138,2.9302325581395348,3.2093023255813953,0.058200719427386256,0.05143676925967397,inf,0.03387042982586727,0.023255813953488372,False,True
arithmetic_t0.9_k300,3,13,59,60,4.538461538461538,4.615384615384615,0.07887560833935416,0.06129809512050352,inf,0.04103037607210664,0.15384615384615385,False,True
arithmetic_t0.9_k300,4,40,100,116,2.5,2.9,0.07426661573623668,0.03053828397856808,inf,0.020498613645250064,0.025,False,True
arithmetic_t0.9_k300,5,56,180,152,3.2142857142857144,2.7142857142857144,0.11854371931013888,0.05157589303229977,inf,0.034060398989829904,0.03571428571428571,False,True
arithmetic_t0.9_k300,6,8,19,29,2.375,3.625,0.1349251995068641,0.0637530733587745,inf,0.04236468926739919,0.375,False,True
arithmetic_t0.9_k300,7,20,55,56,2.75,2.8,0.08949158809876476,0.013964796849079244,inf,0.009566003428883623,0.2,False,True
arithmetic_t1.0_k50256,0,49,229,244,4.673469387755102,4.979591836734694,0.0004939078939576249,0.0007482279064448564,inf,0.0006305856477171598,0.04081632653061224,False,True
arithmetic_t1.0_k50256,1,10,57,54,5.7,5.4,0.0009153093567126817,0.00037786934887407077,inf,0.00035899321823255605,0.2,False,True
arithmetic_t1.0_k50256,2,42,191,223,4.5476190476190474,5.309523809523809,0.0004945227139371778,0.0005601941119791525,inf,0.000511498894427182,0.07142857142857142,False,True
arithmetic_t1.0_k50256,3,33,172,129,5.212121212121212,3.909090909090909,0.0005913450555517843,0.0005835215514849274,inf,0.0005194612649562707,0.030303030303030304,False,True
arithmetic_t1.0_k50256,4,41,161,186,3.926829268292683,4.536585365853658,0.0007490320352704716,0.000987712430941916,inf,0.0008133924274092092,0.024390243902439025,False,True
arithmetic_t1.0_k50256,5,28,138,92,4.928571428571429,3.2857142857142856,0.0006523458101792099,0.00035634758810447134,inf,0.0003213838557732676,0.10714285714285714,False,True
arithmetic_t1.0_k50256,6,25,117,152,4.68,6.08,0.0005240230576673987,0.00044822882907858097,inf,0.00043336375958431047,0.08,False,True
arithmetic_t1.0_k50256,7,12,45,39,3.75,3.25,0.00042336113973917745,0.0002714542502387679,inf,0.00024835965544211337,0.08333333333333333,False,True
